OBJECTID,Place,Day,Date of Exposure,Time of Exposure,Address,Zone,Last Updated,Exposure area,Geolocation Address,longitude,latitude
23,Highland Curling Club,Sun,12/05/2021, 18:30 to 21:00,3916 NS-316- Saint Andrews,Eastern,12/09/2021 - 21:10,Highland Curling Club,Highland Curling Club - 3916 NS-316- Saint Andrews- Nova Scotia- Canada,-61.89011882,45.55901214
24,St. Francis Xavier University,Sun,12/05/2021, 18:00 to 19:30,Morrison Hall (dining hall),Eastern,12/08/2021 - 22:12,St. Francis Xavier University,St. Francis Xavier University - Morrison Hall (dining hall)- Nova Scotia- Canada,-61.99718992,45.62007995
25,Main Street Café - Maritime Inn Restaurant,Sun,12/05/2021, 17:30 to 21:00,158 Main Street- Antigonish,Eastern,12/08/2021 - 22:35,Main Street Café - Maritime Inn Restaurant,Main Street Café - Maritime Inn Restaurant - 158 Main Street- Antigonish- Nova Scotia- Canada,-61.98719926,45.62326673
26,Coldstream Clear Distillery,Sun,12/05/2021, 16:45 to 18:15,25 James St.- Antigonish,Eastern,12/08/2021 - 22:44,Coldstream Clear Distillery,Coldstream Clear Distillery - 25 James St.- Antigonish- Nova Scotia- Canada,-62.00212064,45.61565332
27,Boston Pizza,Sun,12/05/2021, 16:30 to 18:30,133 Church St.- Antigonish,Eastern,12/10/2021 - 23:27,Boston Pizza,Boston Pizza - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98552,45.61557
28,Shubie Park,Sun,12/05/2021, 16:15 to 19:00,Christmas Tree Lighting Event (54 Locks Road- Dartmouth),Central,12/09/2021 - 21:24,Shubie Park,Shubie Park - Christmas Tree Lighting Event (54 Locks Road- Dartmouth)- Nova Scotia- Canada,-63.55311656,44.70174525
29,Canadian Tire,Sun,12/05/2021, 16:00 to 17:30,133 Church St.- Antigonish,Eastern,12/09/2021 - 21:44,Canadian Tire,Canadian Tire - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98589,45.61635
30,St. Francis Xavier University - Student Union Building,Sun,12/05/2021, 15:30 to 19:00,Fourth floor,Eastern,12/09/2021 - 22:20,St. Francis Xavier University - Student Union Building,St. Francis Xavier University - Student Union Building - Fourth floor- Nova Scotia- Canada,-63.11974,45.38673
31,Townhouse Restaurant,Sun,12/05/2021, 15:00 to 22:30,76 College St.- Antigonish,Eastern,12/11/2021 - 00:46,Townhouse Restaurant,Townhouse Restaurant - 76 College St.- Antigonish- Nova Scotia- Canada,-61.99147579,45.62269354
32,Snappy Tomato Pizza,Sun,12/05/2021, 15:00 to 16:45,38 James St.- Antigonish,Eastern,12/11/2021 - 00:49,Snappy Tomato Pizza,Snappy Tomato Pizza - 38 James St.- Antigonish- Nova Scotia- Canada,-62.00231002,45.61563006
33,Little Cristos,Sun,12/05/2021, 15:00 to 17:00,332 Main St.- Antigonish,Eastern,12/08/2021 - 22:46,Little Cristos,Little Cristos - 332 Main St.- Antigonish- Nova Scotia- Canada,-61.99234004,45.62251003
34,Cole Harbour High School Gym,Sun,12/05/2021, 14:30 to 16:45,Metro Basketball Association (2 Chameau Crescent- Dartmouth),Central,12/08/2021 - 22:33,Cole Harbour High School Gym,Cole Harbour High School Gym - Metro Basketball Association (2 Chameau Crescent- Dartmouth)- Nova Scotia- Canada,-63.49053996,44.68135005
35,Millers Restaurant,Sun,12/05/2021, 14:30 to 16:30,717 Reeves St.- Port Hawkesbury,Eastern,12/09/2021 - 21:42,Millers Restaurant,Millers Restaurant - 717 Reeves St.- Port Hawkesbury- Nova Scotia- Canada,-61.35077904,45.61448325
36,Antigonish Arena - Rink,Sun,12/05/2021, 14:00 to 17:30,30 James St.- Antigonish,Eastern,12/09/2021 - 21:19,Antigonish Arena - Rink,Antigonish Arena - Rink - 30 James St.- Antigonish- Nova Scotia- Canada,-62.00184008,45.61580005
37,St. Francis Xavier University,Sun,12/05/2021, 14:00 to 19:00,Mulroney House (main floor study group),Eastern,12/08/2021 - 22:11,St. Francis Xavier University,St. Francis Xavier University - Mulroney House (main floor study group)- Nova Scotia- Canada,-61.99718992,45.62007995
38,Boston Pizza,Sun,12/05/2021, 12:30 to 14:30,133 Church St.- Antigonish,Eastern,12/10/2021 - 23:29,Boston Pizza,Boston Pizza - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98552,45.61557
39,Tim Hortons,Sun,12/05/2021, 12:30 to 14:00,45 James St.- Antigonish,Eastern,12/09/2021 - 21:48,Tim Hortons,Tim Hortons - 45 James St.- Antigonish- Nova Scotia- Canada,-62.00367,45.61500997
40,Snow Queen Restaurant,Sun,12/05/2021, 12:30 to 14:30,21 James St.- Antigonish,Flight,12/09/2021 - 21:46,Snow Queen Restaurant,Snow Queen Restaurant - 21 James St.- Antigonish- Nova Scotia- Canada,-62.00155993,45.61584996
41,St Francis Xavier University,Sun,12/05/2021, 12:00 to 13:00,Angus L. Macdonald Library,Eastern,12/08/2021 - 22:26,St Francis Xavier University,St Francis Xavier University - Angus L. Macdonald Library- Nova Scotia- Canada,-61.99718992,45.62007995
42,St. Francis Xavier University,Sun,12/05/2021, 12:00 to 14:00,campus tour by students and parents,Eastern,12/08/2021 - 22:42,St. Francis Xavier University,St. Francis Xavier University - campus tour by students and parents- Nova Scotia- Canada,-61.99718992,45.62007995
43,Canada Games Centre,Sun,12/05/2021, 11:45 to 15:00,Aquatics Centre and family rooms (26 Thomas Raddall Drive- Halifax),Central,12/08/2021 - 22:15,Canada Games Centre,Canada Games Centre - Aquatics Centre and family rooms (26 Thomas Raddall Drive- Halifax)- Nova Scotia- Canada,-63.66527,44.65896
44,Five Guys,Sun,12/05/2021, 11:45 to 13:15,1630 Argyle St.- Halifax,Central,12/06/2021 - 18:47,Five Guys,Five Guys - 1630 Argyle St.- Halifax- Nova Scotia- Canada,-63.57427169,44.64588246
45,Kent Building Supplies,Sun,12/05/2021, 11:00 to 14:30,35 Market St.- Antigonish,Eastern,12/09/2021 - 21:58,Kent Building Supplies,Kent Building Supplies - 35 Market St.- Antigonish- Nova Scotia- Canada,-62.01366638,45.61044196
46,St. Francis Xavier University,Sun,12/05/2021, 10:30 to 12:30,Morrison Dining Hall,Eastern,12/10/2021 - 23:56,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995
47,Justamere Café & Bakery,Sun,12/05/2021, 10:30 to 12:30,137 Church St.- Antigonish,Eastern,12/07/2021 - 20:55,Justamere Café & Bakery,Justamere Café & Bakery - 137 Church St.- Antigonish- Nova Scotia- Canada,-61.98565384,45.61600232
48,Goodlife Fitness,Sun,12/05/2021, 10:30 to 13:30,26 College St.- Antigonish,Eastern,12/09/2021 - 21:13,Goodlife Fitness,Goodlife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459
49,Esquire Restaurant,Sun,12/05/2021, 10:00 to 12:00,772 Bedford Highway- Halifax,Central,12/08/2021 - 22:31,Esquire Restaurant,Esquire Restaurant - 772 Bedford Highway- Halifax- Nova Scotia- Canada,-63.66629,44.70810993
50,Esquire Restaurant,Sun,12/05/2021, 10:00 to 12:00,772 Bedford Hwy.- Halifax,Central,12/07/2021 - 20:57,Esquire Restaurant,Esquire Restaurant - 772 Bedford Hwy.- Halifax- Nova Scotia- Canada,-63.66629,44.70810993
51,Smitty’s,Sun,12/05/2021, 09:30 to 12:30,1490 Cathedral Lane- Halifax,Central,12/09/2021 - 21:23,Smitty’s,Smitty’s - 1490 Cathedral Lane- Halifax- Nova Scotia- Canada,-63.57655,44.64548
52,St. Francis Xavier University – Angus L. Macdonald Library,Sun,12/05/2021, 09:00 to 15:00,Third Floor – across from the “Harry Potter” Room,Eastern,12/09/2021 - 21:36,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - Third Floor – across from the “Harry Potter” Room- Nova Scotia- Canada,-61.63183,45.76663995
53,St. Francis Xavier University – Angus L. Macdonald Library,Sun,12/05/2021, 08:30 to 14:00,,Eastern,12/10/2021 - 23:41,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - nan- Nova Scotia- Canada,-61.99718992,45.62007995
54,Kennys Pizza,Sun,12/05/2021, 01:30 to 03:00,30 College St.- Antigonish,Eastern,12/09/2021 - 21:23,Kennys Pizza,Kennys Pizza - 30 College St.- Antigonish- Nova Scotia- Canada,-61.99146304,45.62143114
55,Spindrift Oak Manor,Sat,12/04/2021, 23:00 to Sun,271 Main Street- Antigonish,Eastern,12/09/2021 - 21:56,Spindrift Oak Manor,Spindrift Oak Manor - 271 Main Street- Antigonish- Nova Scotia- Canada,-61.99157076,45.62243257
56,Dooley’s Antigonish,Sat,12/04/2021, 22:30 to Sun,26 College St.- Antigonish,Eastern,12/11/2021 - 00:47,Dooley’s Antigonish,Dooley’s Antigonish - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459
57,Pipers Pub,Sat,12/04/2021, 22:30 to Sun,33 College St.- Antigonish,Eastern,12/08/2021 - 22:50,Pipers Pub,Pipers Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.99158,45.62128
58,The Press Gang Restaurant & Oyster Bar,Sat,12/04/2021, 21:00 to Sun,5218 Prince St.- Halifax,Central,12/06/2021 - 18:43,The Press Gang Restaurant & Oyster Bar,The Press Gang Restaurant & Oyster Bar - 5218 Prince St.- Halifax- Nova Scotia- Canada,-63.57454998,44.64710994
59,St. Francis Xavier University,Sat,12/04/2021, 20:30 to 23:30,Somers Hall (BD Section),Eastern,12/10/2021 - 23:40,St. Francis Xavier University,St. Francis Xavier University - Somers Hall (BD Section)- Nova Scotia- Canada,-61.99718992,45.62007995
60,St. Francis Xavier University,Sat,12/04/2021, 20:30 to 23:30,Somers Hall (BD Section),Eastern,12/10/2021 - 23:46,St. Francis Xavier University,St. Francis Xavier University - Somers Hall (BD Section)- Nova Scotia- Canada,-61.99718992,45.62007995
61,St. Francis Xavier University,Sat,12/04/2021, 20:30 to 23:30,Power Hall (AA Section),Eastern,12/10/2021 - 23:40,St. Francis Xavier University,St. Francis Xavier University - Power Hall (AA Section)- Nova Scotia- Canada,-61.99718992,45.62007995
62,Pizza Delight,Sat,12/04/2021, 20:00 to 21:00,348 Main St.- Antigonish,Eastern,12/11/2021 - 00:46,Pizza Delight,Pizza Delight - 348 Main St.- Antigonish- Nova Scotia- Canada,-61.99437003,45.62219
63,Gabrieau’s Bistro,Sat,12/04/2021, 19:45 to 22:15,350 Main St.- Antigonish,Eastern,12/07/2021 - 20:58,Gabrieau’s Bistro,Gabrieau’s Bistro - 350 Main St.- Antigonish- Nova Scotia- Canada,-61.99448004,45.62214004
64,Piper’s Pub,Sat,12/04/2021, 19:30 to Sun,33 College St.- Antigonish,Eastern,12/07/2021 - 20:53,Piper’s Pub,Piper’s Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.99158,45.62128
65,Spindrift Oak Manor,Sat,12/04/2021, 19:30 to 22:00,271 Main St.- Antigonish,Eastern,12/08/2021 - 22:30,Spindrift Oak Manor,Spindrift Oak Manor - 271 Main St.- Antigonish- Nova Scotia- Canada,-61.99157076,45.62243257
66,Candid Brewery Company,Sat,12/04/2021, 19:00 to 23:30,88 College St.- Antigonish,Eastern,12/10/2021 - 23:56,Candid Brewery Company,Candid Brewery Company - 88 College St.- Antigonish- Nova Scotia- Canada,-61.99161577,45.62305358
67,Scotiabank Centre,Sat,12/04/2021, 18:30 to 21:30,Thunderbirds game - Section 14- Row G (1800 Argyle St.- Halifax),Central,12/11/2021 - 00:45,Scotiabank Centre,Scotiabank Centre - Thunderbirds game - Section 14- Row G (1800 Argyle St.- Halifax)- Nova Scotia- Canada,-63.57557002,44.64853996
68,Dartmouth Sportsplex,Sat,12/04/2021, 18:15 to 22:00,110 Wyse Rd.- Dartmouth,Central,12/11/2021 - 00:06,Dartmouth Sportsplex,Dartmouth Sportsplex - 110 Wyse Rd.- Dartmouth- Nova Scotia- Canada,-63.57558,44.66895007
69,Scotiabank Centre,Sat,12/04/2021, 18:00 to 22:30,Thunderbirds game- section 38- Rows E-H- seats- 1-5- 1800 Argyle St.- Halifax,Eastern,12/08/2021 - 22:38,Scotiabank Centre,Scotiabank Centre - Thunderbirds game- section 38- Rows E-H- seats- 1-5- 1800 Argyle St.- Halifax- Nova Scotia- Canada,-63.57557002,44.64853996
70,Boston Pizza,Sat,12/04/2021, 18:00 to 21:00,133 Church Street- Antigonish,Eastern,12/08/2021 - 22:48,Boston Pizza,Boston Pizza - 133 Church Street- Antigonish- Nova Scotia- Canada,-61.98552,45.61557
71,Boston Pizza,Sat,12/04/2021, 18:00 to 22:30,133 Church St.- Antigonish,Eastern,12/09/2021 - 22:00,Boston Pizza,Boston Pizza - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98552,45.61557
72,A&W,Sat,12/04/2021, 17:30 to 19:00,54 James St.- Antigonish,Eastern,12/09/2021 - 22:02,A&W,A&W - 54 James St.- Antigonish- Nova Scotia- Canada,-62.00374001,45.61502005
73,St. Francis Xavier University – Charles V. Keating Centre,Sat,12/04/2021, 17:00 to 21:00,Convocation Dinner,Eastern,12/09/2021 - 22:00,St. Francis Xavier University – Charles V. Keating Centre,St. Francis Xavier University – Charles V. Keating Centre - Convocation Dinner- Nova Scotia- Canada,-61.99718992,45.62007995
74,Boston Pizza,Sat,12/04/2021, 16:30 to 19:30,133 Church St.- Antigonish,Eastern,12/07/2021 - 20:56,Boston Pizza,Boston Pizza - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98552,45.61557
75,Townhouse Restaurant,Sat,12/04/2021, 16:30 to 23:00,76 College St.- Antigonish,Eastern,12/09/2021 - 21:40,Townhouse Restaurant,Townhouse Restaurant - 76 College St.- Antigonish- Nova Scotia- Canada,-61.99147579,45.62269354
76,St. Francis Xavier University,Sat,12/04/2021, 16:30 to 18:30,Morrison Hall (dining hall),Eastern,12/08/2021 - 22:13,St. Francis Xavier University,St. Francis Xavier University - Morrison Hall (dining hall)- Nova Scotia- Canada,-61.99718992,45.62007995
77,Antigonish Arena - Rink,Sat,12/04/2021, 16:00 to 22:00,30 James St.- Antigonish,Eastern,12/09/2021 - 21:18,Antigonish Arena - Rink,Antigonish Arena - Rink - 30 James St.- Antigonish- Nova Scotia- Canada,-62.00184008,45.61580005
78,Montana’s BBQ & Bar – Dartmouth Crossing,Sat,12/04/2021, 14:30 to 17:30,101 Shubie Drive- Dartmouth,Central,12/09/2021 - 21:22,Montana’s BBQ & Bar – Dartmouth Crossing,Montana’s BBQ & Bar – Dartmouth Crossing - 101 Shubie Drive- Dartmouth- Nova Scotia- Canada,-63.56269992,44.70691006
79,Coldstream Clear Distillery,Sat,12/04/2021, 14:30 to 21:00,25 James Street- Antigonish,Eastern,12/10/2021 - 23:22,Coldstream Clear Distillery,Coldstream Clear Distillery - 25 James Street- Antigonish- Nova Scotia- Canada,-62.00212064,45.61565332
80,Coldstream Clear Distillery,Sat,12/04/2021, 14:30 to 17:00,25 James St.- Antigonish,Eastern,12/09/2021 - 22:04,Coldstream Clear Distillery,Coldstream Clear Distillery - 25 James St.- Antigonish- Nova Scotia- Canada,-62.00212064,45.61565332
81,St. Francis Xavier University – Charles V. Keating Centre,Sat,12/04/2021, 14:30 to 17:30,Fall Convocation,Eastern,12/09/2021 - 21:58,St. Francis Xavier University – Charles V. Keating Centre,St. Francis Xavier University – Charles V. Keating Centre - Fall Convocation- Nova Scotia- Canada,-61.99718992,45.62007995
82,Gabrieau’s Bistro,Sat,12/04/2021, 14:30 to 17:00,350 Main Street- Antigonish,Eastern,12/09/2021 - 21:59,Gabrieau’s Bistro,Gabrieau’s Bistro - 350 Main Street- Antigonish- Nova Scotia- Canada,-61.99448004,45.62214004
83,Bella Rose Arts Centre,Sat,12/04/2021, 14:30 to 17:30,Element Dance Holiday Show (283 Thomas Raddall Drive- Halifax),Central,12/08/2021 - 22:29,Bella Rose Arts Centre,Bella Rose Arts Centre - Element Dance Holiday Show (283 Thomas Raddall Drive- Halifax)- Nova Scotia- Canada,-63.66372004,44.65584004
84,St Francis Xavier University,Sat,12/04/2021, 14:00 to 21:00,Angus L. Macdonald Library,Eastern,12/08/2021 - 22:25,St Francis Xavier University,St Francis Xavier University - Angus L. Macdonald Library- Nova Scotia- Canada,-61.99718992,45.62007995
85,Tall and Small Cafe,Sat,12/04/2021, 13:30 to 17:30,342 Main Street- Antigonish,Eastern,12/09/2021 - 21:37,Tall and Small Cafe,Tall and Small Cafe - 342 Main Street- Antigonish- Nova Scotia- Canada,-61.99411,45.62229005
86,Queens Place - Emera Centre,Sat,12/04/2021, 13:30 to 16:00,50 Queens Place Dr.- Liverpool,Western,12/11/2021 - 00:04,Queens Place - Emera Centre,Queens Place - Emera Centre - 50 Queens Place Dr.- Liverpool- Nova Scotia- Canada,-64.72221293,44.04979537
87,Pita Pit,Sat,12/04/2021, 13:00 to 14:45,44 James St.- Antigonish,Eastern,12/07/2021 - 20:58,Pita Pit,Pita Pit - 44 James St.- Antigonish- Nova Scotia- Canada,-62.00290108,45.61540635
88,The Waffle Bus Stop,Sat,12/04/2021, 12:30 to 14:30,18 College Street- Antigonish,Eastern,12/09/2021 - 21:57,The Waffle Bus Stop,The Waffle Bus Stop - 18 College Street- Antigonish- Nova Scotia- Canada,-61.99160211,45.62081276
89,Playdium,Sat,12/04/2021, 12:30 to 16:00,21 Cabela Road- Dartmouth,Central,12/08/2021 - 22:23,Playdium,Playdium - 21 Cabela Road- Dartmouth- Nova Scotia- Canada,-63.57535,44.67404
90,Brownstone Restaurant,Sat,12/04/2021, 11:30 to 16:00,244 Main St.- Antigonish,Eastern,12/10/2021 - 23:30,Brownstone Restaurant,Brownstone Restaurant - 244 Main St.- Antigonish- Nova Scotia- Canada,-61.99047004,45.62251005
91,Mary’s Place Café II,Sat,12/04/2021, 11:30 to 13:30,5982 Spring Garden Rd.- Halifax,Central,12/11/2021 - 00:45,Mary’s Place Café II,Mary’s Place Café II - 5982 Spring Garden Rd.- Halifax- Nova Scotia- Canada,-63.58634276,44.64046298
92,Swiss Chalet – Dartmouth Crossing,Sat,12/04/2021, 11:30 to 13:30,16 Foulis Row- Dartmouth,Central,12/09/2021 - 21:21,Swiss Chalet – Dartmouth Crossing,Swiss Chalet – Dartmouth Crossing - 16 Foulis Row- Dartmouth- Nova Scotia- Canada,-63.56221004,44.70639005
93,Snow Queen Restaurant,Sat,12/04/2021, 11:15 to 14:00,21 James Street- Antigonish,Eastern,12/08/2021 - 22:50,Snow Queen Restaurant,Snow Queen Restaurant - 21 James Street- Antigonish- Nova Scotia- Canada,-62.00155993,45.61584996
94,Justamere Café & Bakery,Sat,12/04/2021, 11:00 to 14:00,137 Church St.- Antigonish,Eastern,12/09/2021 - 21:45,Justamere Café & Bakery,Justamere Café & Bakery - 137 Church St.- Antigonish- Nova Scotia- Canada,-61.98565384,45.61600232
